Year,Feedstock,Utilities,Chemicals,Maintenance,Personnel,Insurance,Overheads,Digestate,Other,Total
2025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2027,600000.0,285000.0,75000.0,976000.0,600000.0,244000.0,150000.0,135000.0,37500.0,3102500.0
2028,734400.0,352260.0,91800.0,995520.0,737999.9999999999,246440.0,183600.0,165240.0,45900.0,3553160.0
2029,790704.0,382984.9,98838.0,1015430.4,798474.9999999999,248904.4,197676.0,177908.4,49419.0,3760340.0999999996
2030,806518.0800000001,394474.4469999999,100814.76000000001,1035739.0080000001,818436.8749999998,251393.44400000005,201629.52000000002,181466.56800000003,50407.380000000005,3840880.082
2031,822648.4416,406308.68041000003,102831.0552,1056453.78816,838897.7968749997,253907.37844,205662.1104,185095.89936,51415.5276,3923220.6780450004
2032,839101.410432,418497.9408223,104887.67630400001,1077582.8639232,859870.2417968746,256446.45222440004,209775.35260800002,188797.8173472,52443.838152000004,4007403.5936099747
2033,855883.4386406401,431052.87904696906,106985.42983008,1099134.521201664,881366.9978417964,259010.91674664404,213970.85966016,192573.773694144,53492.71491504,4093471.5315771373
2034,873001.1074134528,443984.4654183781,109125.1384266816,1121117.2116256973,903401.1727878413,261601.02591411045,218250.2768533632,196425.2491680269,54562.5692133408,4181468.2168208924
2035,890461.1295617219,457303.9993809295,111307.64119521524,1143539.5558582114,925986.2021075371,264217.0361732516,222615.28239043048,200353.75415138743,55653.82059760762,4271438.421416292
2036,908270.3521529564,471023.1193623574,113533.79401911955,1166410.3469753757,949135.8571602255,266859.20653498406,227067.5880382391,204360.8292344152,56766.897009559776,4363427.990487233
2037,926435.7591960155,485153.8129432282,115804.46989950194,1189738.5539148832,972864.2535892309,269527.7986003339,231608.93979900389,208448.0458191035,57902.23494975097,4457483.8687110515
2038,944964.4743799359,499708.4273315249,118120.55929749199,1213533.3249931808,997185.8599289617,272223.07658633724,236241.11859498397,212617.00673548557,59060.27964874599,4553654.127496649
2039,963863.7638675345,514699.6801514707,120482.97048344182,1237803.9914930444,1022115.5064271857,274945.3073522006,240965.94096688365,216869.34687019527,60241.48524172091,4651987.992853677
2040,983141.0391448854,530140.6705560149,122892.62989311067,1262560.0713229054,1047668.3940878651,277694.76042572263,245785.25978622134,221206.7338075992,61446.314946555336,4752535.873970879
2041,1002803.859927783,546044.8906726954,125350.48249097288,1287811.2727493634,1073860.1039400618,280471.7080299799,250700.96498194576,225630.86848375117,62675.24124548644,4855349.392522041
2042,1022859.9371263387,562426.2373928762,127857.49214079232,1313567.4982043507,1100706.6065385633,283276.4251102797,255714.98428158465,230143.48585342622,63928.74607039616,4960481.412718607
2043,1043317.1358688655,579299.0245146626,130414.64198360818,1339838.8481684378,1128224.2717020272,286109.1893613825,260829.28396721635,234746.35557049472,65207.32099180409,5067986.072128499
